"Model","cijena(euro)","dimenzije","opis","preuzimanje u"
"Dvorac 01 ","30","4 × 4,8 × 3,35 m","dimenzija paketa: 1,5 × 0,5 m","Rijeka "
"Dvorac 02","40","3,8 × 5,5 × 2,45 m","dimenzija paketa: 1,5 × 0,5 m","Rijeka "
"Dvorac 03","40","3,3 × 5 × 2,1 m","dimenzija paketa: 1,5 × 0,55 m","Rijeka "
"Dvorac 04","50","4,5 × 5 × 3 m","dimenzije paketa 1,7 × 0,9 m","Rijeka "
"Dvorac 05","40","3,3 × 5 × 2,4 m","dimenzija paketa: 1,55 × 0,5 m","Rijeka "
"Dvorac 06","30","4,2 × 4,7 × 2,95 m","dimenzija paketa: 1,4 × 0,6 m","Rijeka "
"Dvorac 07 ","50","3,5 × 4,5 × 3,2 m","dimenzija paketa: 1,5 × 0,5 m","Rijeka "
"Dvorac 08","100","7 × 4 × 6,2 m","model je namijenjen za djecu do 12 godina,NOVO","Rijeka "
"Dvorac 09","60","5,2 × 5,2 × 4,5 m","dimenzije paketa: 1,7 × 0,9 m","Rijeka "
"Dvorac 10","60","5,2 × 5,2 × 4,5 m","model je namijenjen za djecu do 11 godina,dimenzije paketa 1,7 × 0,9 m","Rijeka "
"Dvorac 11","60","5,5 × 5 × 4m","model je namijenjen za djecu do 11 godina,dimenzije paketa: 1,8 × 0,9m","Rijeka "
"Dvorac 12","50","4,7 × 4 × 3,4 m",,"Rijeka "
"Dvorac 13","100","8,2 × 4,2 × 5m","dvorac je namijenjen za djecu do 15 godina","Rijeka "
"Dvorac 14","70","5 × 5 × 2,9 m","dvorac je namijenjen za djecu do 11 godina,NOVO","Rijeka "
"Dvorac 15","50","4 × 5 m","dimenzije paketa: 1,5 × 0,9 m","Rijeka "
"Dvorac 16","60","5 × 4,5 × 3,5m","dvorac je namijenjen za djecu do 11 godina","Rijeka "
"Dvorac 17","70","5 × 4,5 × 3,4 m","dvorac je namijenjen za djecu do 11 godina","Rijeka "
"Dvorac 18 ","70","5,15 × 5,05 × 3,5m","dvorac je namijenjen za djecu do 11 godina","Rijeka "
"Dvorac 19","50","5,6 × 2,55 × 2,2 m","dimenzija paketa: 1,5 × 0,5 m","Rijeka "
"Dvorac 20","60","5 × 5 × 4 m","dimenzija paketa: 1,5 × 0,5 m","Rijeka "
"Dvorac 21 ","50","5,1 × 4 × 3 m","dimenzija paketa: 1,2 × 0,8 m","Rijeka "
"Dvorac 22","60","5 × 4,5 × 3,4 m","dvorac je namijenjen za djecu do 11 godina","Rijeka "
"Dvorac 23","70","5 × 5 × 3,2 m","dvorac je namijenjen za djecu do 11 godina,NOVO","Rijeka "
"Dvorac 26","50","3 × 5,9 × 3,15 m","dimenzija paketa: 1 × 0,8 m,dvorac s bazenom","Rijeka "
"Dvorac 32","60","4 × 4 × 4,4 m","dimenzije paketa: 1,7 × 0,8 m","Rijeka "
"Dvorac 33","60","6 × 5 × 3,5 m","dimenzije paketa 1,7 × 0,9 m","Rijeka "
"Dvorac 34","60","7 × 4 × 4 m","dimenzije paketa: 1,7 × 0,9 m","Rijeka "
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
